variant,id,question,ground_truth_type,question_type,provider,expected_documents,expected_document_1,expected_document_2,retrieved_doc_ids,retrieved_chunk_ids,retrieved_scores,top_1_doc_id,top_3_doc_ids,top_5_doc_ids,reciprocal_rank,retrieval_latency_ms,retrieved_chunk_count,unique_doc_count,duplicate_chunk_count,duplicate_ratio,max_same_document_occupancy,context_character_count,approximate_token_count,hit_at_1,hit_at_3,hit_at_5,any_hit_at_1,any_hit_at_3,any_hit_at_5,all_hit_at_1,all_hit_at_3,all_hit_at_5
cap2,eval_016,Users see intermittent 5xx responses through an Application Load Balancer. Which AWS document should guide first diagnosis?,single,single-troubleshooting,aws,aws_alb_troubleshooting,aws_alb_troubleshooting,,aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_ec2_autoscaling_unhealthy_instances,aws_alb_troubleshooting::0000|aws_alb_monitoring::0002|aws_alb_monitoring::0001|aws_alb_troubleshooting::0001|aws_ec2_autoscaling_unhealthy_instances::0009,0.674474|0.72125|0.744212|0.783331|0.894045,aws_alb_troubleshooting,aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_monitoring,aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_ec2_autoscaling_unhealthy_instances,1.0,140.079,5,3,2,0.4,2,4918,1230,1,1,1,1,1,1,1,1,1
baseline,eval_017,Before blaming targets behind an ALB I need request logs and metrics to understand traffic patterns. Which document is relevant?,single,contextual,aws,aws_alb_monitoring,aws_alb_monitoring,,aws_alb_monitoring|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting,aws_alb_monitoring::0001|aws_alb_monitoring::0000|aws_alb_monitoring::0002|aws_alb_troubleshooting::0036|aws_alb_troubleshooting::0044,0.849836|0.903866|0.928413|0.946714|0.967961,aws_alb_monitoring,aws_alb_monitoring|aws_alb_monitoring|aws_alb_monitoring,aws_alb_monitoring|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting,1.0,135.285,5,2,3,0.6,3,4430,1108,1,1,1,1,1,1,1,1,1
cap2,eval_017,Before blaming targets behind an ALB I need request logs and metrics to understand traffic patterns. Which document is relevant?,single,contextual,aws,aws_alb_monitoring,aws_alb_monitoring,,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting|k8s_observability,aws_alb_monitoring::0001|aws_alb_monitoring::0000|aws_alb_troubleshooting::0036|aws_alb_troubleshooting::0044|k8s_observability::0005,0.849836|0.903866|0.946714|0.967961|1.051504,aws_alb_monitoring,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting|k8s_observability,1.0,135.305,5,3,2,0.4,2,4630,1158,1,1,1,1,1,1,1,1,1
baseline,eval_018,An application cannot connect to an RDS DB instance from a client host. Which AWS document should be the main source?,single,single-troubleshooting,aws,aws_rds_troubleshooting,aws_rds_troubleshooting,,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting::0001|aws_rds_troubleshooting::0000|aws_rds_troubleshooting::0015|aws_rds_troubleshooting::0014|aws_rds_troubleshooting::0008,0.803142|0.818605|0.870117|0.888086|0.923195,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,1.0,140.979,5,1,4,0.8,5,5120,1280,1,1,1,1,1,1,1,1,1
cap2,eval_018,An application cannot connect to an RDS DB instance from a client host. Which AWS document should be the main source?,single,single-troubleshooting,aws,aws_rds_troubleshooting,aws_rds_troubleshooting,,aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting::0001|aws_rds_troubleshooting::0000,0.803142|0.818605,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting,1.0,141.01,2,1,1,0.5,2,2048,512,1,1,1,1,1,1,1,1,1
baseline,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws,aws_vpc_reachability_analyzer,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting::0021|aws_vpc_reachability_analyzer::0000|aws_ec2_autoscaling_health_checks::0002|aws_rds_troubleshooting::0008|aws_eks_auto_mode_troubleshooting::0022,0.856959|0.940274|0.997758|1.008584|1.037762,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,0.5,126.645,5,4,1,0.2,2,5118,1280,0,1,1,0,1,1,0,1,1
cap2,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws,aws_vpc_reachability_analyzer,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting::0021|aws_vpc_reachability_analyzer::0000|aws_ec2_autoscaling_health_checks::0002|aws_rds_troubleshooting::0008|aws_eks_auto_mode_troubleshooting::0022,0.856959|0.940274|0.997758|1.008584|1.037762,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,0.5,126.678,5,4,1,0.2,2,5118,1280,0,1,1,0,1,1,0,1,1
baseline,eval_020,A Kubernetes workload uses a feature flag and a password. Which documents distinguish where each value belongs?,multi,multi-document,kubernetes,k8s_configmaps|k8s_secrets,k8s_configmaps,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|aws_eks_auto_mode_troubleshooting,k8s_secrets::0002|k8s_secrets::0035|k8s_secrets::0000|k8s_secrets::0019|aws_eks_auto_mode_troubleshooting::0024,0.837937|0.970632|0.999044|1.017189|1.029694,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|aws_eks_auto_mode_troubleshooting,1.0,131.946,5,2,3,0.6,4,5119,1280,1,1,1,1,1,1,0,0,0
cap2,eval_020,A Kubernetes workload uses a feature flag and a password. Which documents distinguish where each value belongs?,multi,multi-document,kubernetes,k8s_configmaps|k8s_secrets,k8s_configmaps,k8s_secrets,k8s_secrets|k8s_secrets|aws_eks_auto_mode_troubleshooting|k8s_debug_running_pod|k8s_horizontal_pod_autoscaling,k8s_secrets::0002|k8s_secrets::0035|aws_eks_auto_mode_troubleshooting::0024|k8s_debug_running_pod::0038|k8s_horizontal_pod_autoscaling::0037,0.837937|0.970632|1.029694|1.111601|1.117814,k8s_secrets,k8s_secrets|k8s_secrets|aws_eks_auto_mode_troubleshooting,k8s_secrets|k8s_secrets|aws_eks_auto_mode_troubleshooting|k8s_debug_running_pod|k8s_horizontal_pod_autoscaling,1.0,131.978,5,4,1,0.2,2,4285,1071,1,1,1,1,1,1,0,0,0
baseline,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,kubernetes,k8s_liveness_readiness_startup_probes|k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod|k8s_debug_running_pod,k8s_liveness_readiness_startup_probes::0018|k8s_liveness_readiness_startup_probes::0019|k8s_horizontal_pod_autoscaling::0014|k8s_debug_running_pod::0018|k8s_debug_running_pod::0015,0.842577|0.874504|0.886654|0.91342|0.925268,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod|k8s_debug_running_pod,1.0,135.838,5,3,2,0.4,2,4623,1156,1,1,1,1,1,1,0,0,0
cap2,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,kubernetes,k8s_liveness_readiness_startup_probes|k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod|k8s_debug_running_pod,k8s_liveness_readiness_startup_probes::0018|k8s_liveness_readiness_startup_probes::0019|k8s_horizontal_pod_autoscaling::0014|k8s_debug_running_pod::0018|k8s_debug_running_pod::0015,0.842577|0.874504|0.886654|0.91342|0.925268,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod|k8s_debug_running_pod,1.0,135.873,5,3,2,0.4,2,4623,1156,1,1,1,1,1,1,0,0,0
baseline,eval_022,A Pod cannot be scheduled and the team suspects resource requests are too high. Which documents should support the investigation?,multi,multi-document,kubernetes,k8s_debug_pods|k8s_resource_management,k8s_debug_pods,k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management,k8s_resource_management::0030|k8s_resource_management::0012|k8s_resource_management::0000|k8s_resource_management::0022|k8s_resource_management::0027,0.87241|0.893025|0.901405|0.915182|0.924008,k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management,1.0,128.749,5,1,4,0.8,5,5118,1280,1,1,1,1,1,1,0,0,0
cap2,eval_022,A Pod cannot be scheduled and the team suspects resource requests are too high. Which documents should support the investigation?,multi,multi-document,kubernetes,k8s_debug_pods|k8s_resource_management,k8s_debug_pods,k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_debug_pods|k8s_debug_running_pod|k8s_debug_running_pod,k8s_resource_management::0030|k8s_resource_management::0012|k8s_debug_pods::0001|k8s_debug_running_pod::0008|k8s_debug_running_pod::0011,0.87241|0.893025|0.962285|0.962605|0.964141,k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_debug_pods,k8s_resource_management|k8s_resource_management|k8s_debug_pods|k8s_debug_running_pod|k8s_debug_running_pod,1.0,128.775,5,3,2,0.4,2,5118,1280,1,1,1,1,1,1,0,1,1
baseline,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws,aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_alb_troubleshooting,aws_ec2_autoscaling_unhealthy_instances::0009|aws_ec2_autoscaling_health_checks::0009|aws_ec2_autoscaling_health_checks::0016|aws_ec2_autoscaling_health_checks::0008|aws_alb_troubleshooting::0001,0.791712|0.797878|0.819359|0.831706|0.858611,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_alb_troubleshooting,0.5,141.192,5,3,2,0.4,3,5117,1279,0,1,1,0,1,1,0,0,1
cap2,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws,aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_alb_troubleshooting|aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances::0009|aws_ec2_autoscaling_health_checks::0009|aws_ec2_autoscaling_health_checks::0016|aws_alb_troubleshooting::0001|aws_ec2_autoscaling_unhealthy_instances::0010,0.791712|0.797878|0.819359|0.858611|0.868468,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_alb_troubleshooting|aws_ec2_autoscaling_unhealthy_instances,0.5,141.225,5,3,2,0.4,2,5117,1279,0,1,1,0,1,1,0,0,1
baseline,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws,aws_rds_troubleshooting|aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting::0019|aws_rds_troubleshooting::0000|aws_rds_troubleshooting::0001|aws_rds_troubleshooting::0053|aws_rds_troubleshooting::0016,0.920661|0.927606|0.931633|1.031353|1.040449,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,1.0,134.136,5,1,4,0.8,5,5120,1280,1,1,1,1,1,1,0,0,0
cap2,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws,aws_rds_troubleshooting|aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_vpc_reachability_analyzer,aws_rds_troubleshooting::0019|aws_rds_troubleshooting::0000|aws_vpc_reachability_analyzer::0001,0.920661|0.927606|1.154425,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_vpc_reachability_analyzer,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_vpc_reachability_analyzer,1.0,134.168,3,2,1,0.3333333333333333,2,2439,610,1,1,1,1,1,1,0,1,1
baseline,eval_025,EKS access fails for a user working on an Auto Mode cluster. Which documents should be considered together?,multi,multi-document,aws,aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting::0016|aws_eks_auto_mode_troubleshooting::0000|aws_eks_auto_mode_troubleshooting::0029|aws_eks_iam_troubleshooting::0000|aws_eks_auto_mode_troubleshooting::0003,0.811988|0.820639|0.923277|0.93376|0.936765,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,1.0,133.862,5,2,3,0.6,4,5118,1280,1,1,1,1,1,1,0,0,1
cap2,eval_025,EKS access fails for a user working on an Auto Mode cluster. Which documents should be considered together?,multi,multi-document,aws,aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting::0016|aws_eks_auto_mode_troubleshooting::0000|aws_eks_iam_troubleshooting::0000|aws_eks_iam_troubleshooting::0001,0.811988|0.820639|0.93376|0.944277,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting,1.0,133.884,4,2,2,0.5,2,4095,1024,1,1,1,1,1,1,0,1,1
baseline,eval_026,A Pod is healthy enough to run but should not receive traffic until dependency checks pass. Which Kubernetes concept separates this from restart behavior?,single,discrimination,kubernetes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,k8s_liveness_readiness_startup_probes::0018|k8s_liveness_readiness_startup_probes::0006|k8s_liveness_readiness_startup_probes::0003|k8s_liveness_readiness_startup_probes::0001|k8s_horizontal_pod_autoscaling::0014,0.848715|0.888408|0.894888|0.909497|0.910507,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,1.0,216.806,5,2,3,0.6,4,5117,1279,1,1,1,1,1,1,1,1,1
cap2,eval_026,A Pod is healthy enough to run but should not receive traffic until dependency checks pass. Which Kubernetes concept separates this from restart behavior?,single,discrimination,kubernetes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling|k8s_debug_pods|k8s_debug_running_pod,k8s_liveness_readiness_startup_probes::0018|k8s_liveness_readiness_startup_probes::0006|k8s_horizontal_pod_autoscaling::0014|k8s_debug_pods::0000|k8s_debug_running_pod::0032,0.848715|0.888408|0.910507|0.937267|0.948355,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling|k8s_debug_pods|k8s_debug_running_pod,1.0,216.827,5,4,1,0.2,2,5118,1280,1,1,1,1,1,1,1,1,1
baseline,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,kubernetes,k8s_configmaps,k8s_configmaps,,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets::0000|k8s_secrets::0004|k8s_secrets::0006|k8s_secrets::0003|k8s_secrets::0035,1.015603|1.036702|1.04057|1.05261|1.054816,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,0.0,166.592,5,1,4,0.8,5,5118,1280,0,0,0,0,0,0,0,0,0
cap2,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,kubernetes,k8s_configmaps,k8s_configmaps,,k8s_secrets|k8s_secrets|k8s_debug_running_pod,k8s_secrets::0000|k8s_secrets::0004|k8s_debug_running_pod::0038,1.015603|1.036702|1.255236,k8s_secrets,k8s_secrets|k8s_secrets|k8s_debug_running_pod,k8s_secrets|k8s_secrets|k8s_debug_running_pod,0.0,166.62,3,2,1,0.3333333333333333,2,3072,768,0,0,0,0,0,0,0,0,0
baseline,eval_028,Should I start with ALB monitoring or ALB troubleshooting when I need raw evidence about request patterns before changing target settings?,single,discrimination,aws,aws_alb_monitoring,aws_alb_monitoring,,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting,aws_alb_monitoring::0001|aws_alb_monitoring::0000|aws_alb_troubleshooting::0041|aws_alb_troubleshooting::0036|aws_alb_troubleshooting::0034,1.034999|1.049141|1.064005|1.069533|1.071309,aws_alb_monitoring,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting,1.0,123.511,5,2,3,0.6,3,5116,1279,1,1,1,1,1,1,1,1,1
cap2,eval_028,Should I start with ALB monitoring or ALB troubleshooting when I need raw evidence about request patterns before changing target settings?,single,discrimination,aws,aws_alb_monitoring,aws_alb_monitoring,,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting,aws_alb_monitoring::0001|aws_alb_monitoring::0000|aws_alb_troubleshooting::0041|aws_alb_troubleshooting::0036,1.034999|1.049141|1.064005|1.069533,aws_alb_monitoring,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting,1.0,123.531,4,2,2,0.5,2,4093,1023,1,1,1,1,1,1,1,1,1
baseline,eval_029,When an Auto Scaling instance is marked unhealthy should I look at health check type behavior or the specific activity error message first?,single,discrimination,aws,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks::0001|aws_ec2_autoscaling_unhealthy_instances::0000|aws_ec2_autoscaling_health_checks::0016|aws_ec2_autoscaling_health_checks::0006|aws_ec2_autoscaling_health_checks::0004,0.691957|0.729186|0.741363|0.751248|0.782031,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,0.5,128.604,5,2,3,0.6,4,5116,1279,0,1,1,0,1,1,0,1,1
cap2,eval_029,When an Auto Scaling instance is marked unhealthy should I look at health check type behavior or the specific activity error message first?,single,discrimination,aws,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_health_checks::0001|aws_ec2_autoscaling_unhealthy_instances::0000|aws_ec2_autoscaling_health_checks::0016|aws_ec2_autoscaling_troubleshooting::0001|aws_ec2_autoscaling_unhealthy_instances::0011,0.691957|0.729186|0.741363|0.791914|0.858688,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances,0.5,128.631,5,3,2,0.4,2,4985,1246,0,1,1,0,1,1,0,1,1
baseline,eval_030,A cluster operator wants to understand whether logs metrics and traces are separate operational signals. Which Kubernetes document should be retrieved?,single,contextual,kubernetes,k8s_observability,k8s_observability,,k8s_observability|k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture,k8s_observability::0000|k8s_observability::0004|k8s_observability::0006|k8s_observability::0005|k8s_logging_architecture::0022,0.712112|0.780385|0.848789|0.862199|0.895456,k8s_observability,k8s_observability|k8s_observability|k8s_observability,k8s_observability|k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture,1.0,126.886,5,2,3,0.6,4,5100,1275,1,1,1,1,1,1,1,1,1
cap2,eval_030,A cluster operator wants to understand whether logs metrics and traces are separate operational signals. Which Kubernetes document should be retrieved?,single,contextual,kubernetes,k8s_observability,k8s_observability,,k8s_observability|k8s_observability|k8s_logging_architecture|k8s_logging_architecture|aws_eks_auto_mode_troubleshooting,k8s_observability::0000|k8s_observability::0004|k8s_logging_architecture::0022|k8s_logging_architecture::0000|aws_eks_auto_mode_troubleshooting::0024,0.712112|0.780385|0.895456|0.936505|1.056073,k8s_observability,k8s_observability|k8s_observability|k8s_logging_architecture,k8s_observability|k8s_observability|k8s_logging_architecture|k8s_logging_architecture|aws_eks_auto_mode_troubleshooting,1.0,126.92,5,3,2,0.4,2,5100,1275,1,1,1,1,1,1,1,1,1
baseline,eval_031,A developer expects Kubernetes to preserve container logs forever after restart. Which document explains the logging model and its limits?,single,contextual,kubernetes,k8s_logging_architecture,k8s_logging_architecture,,k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture,k8s_logging_architecture::0000|k8s_logging_architecture::0005|k8s_logging_architecture::0001|k8s_logging_architecture::0007|k8s_logging_architecture::0011,0.872015|0.87699|0.927918|0.942378|0.956555,k8s_logging_architecture,k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture,k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture,1.0,139.397,5,1,4,0.8,5,5119,1280,1,1,1,1,1,1,1,1,1
cap2,eval_031,A developer expects Kubernetes to preserve container logs forever after restart. Which document explains the logging model and its limits?,single,contextual,kubernetes,k8s_logging_architecture,k8s_logging_architecture,,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_resource_management|k8s_observability,k8s_logging_architecture::0000|k8s_logging_architecture::0005|k8s_observability::0003|k8s_resource_management::0020|k8s_observability::0004,0.872015|0.87699|0.984985|1.065877|1.067547,k8s_logging_architecture,k8s_logging_architecture|k8s_logging_architecture|k8s_observability,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_resource_management|k8s_observability,1.0,139.423,5,3,2,0.4,2,5115,1279,1,1,1,1,1,1,1,1,1
baseline,eval_032,A Service name resolves but requests still fail to reach Pods. Which Kubernetes troubleshooting source is most relevant?,single,single-troubleshooting,kubernetes,k8s_debug_services,k8s_debug_services,,k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_services|k8s_debug_services,k8s_debug_pods::0009|k8s_debug_services::0008|k8s_debug_services::0007|k8s_debug_services::0012|k8s_debug_services::0000,0.741594|0.745907|0.747207|0.766735|0.790041,k8s_debug_pods,k8s_debug_pods|k8s_debug_services|k8s_debug_services,k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_services|k8s_debug_services,0.5,206.973,5,2,3,0.6,4,5038,1260,0,1,1,0,1,1,0,1,1
